scheme_name,government_level,state_or_ut,ministry_or_department,category,short_description,status_confidence,official_source_url,secondary_source_url,last_checked_date,age_min,age_max,gender,income_type,income_min,income_max,state_or_ut_requirement,domicile_requirement,district_requirement,social_category,occupation,employment_status,student_status,education_level,farmer_status,land_holding_requirement,disability_status,disability_percentage_min,marital_status,widow_status,bpl_status,rural_urban_requirement,minority_requirement,family_conditions,other_eligibility_conditions,benefit_type,benefit_summary,benefit_amount,application_method,official_application_url,confidence_notes
Mukhyamantri Yuva Swarojgar Yojana,STATE,Uttar Pradesh,MSME & Export Promotion Department,entrepreneurship|self-employment,Credit-linked support for setting up industry and service-sector self-employment projects.,VERIFIED,https://msme1connect.up.gov.in/Incentive/IncentiveDetails?Benefit=2,,2026-09-19,,,,,,,Uttar Pradesh,true,,,,ASPIRING ENTREPRENEUR,,,,,,,,,,,,,Project and applicant must meet current Directorate of Industries conditions.,Loan|margin-money subsidy,Loan support for industry/service projects with margin-money assistance.,Loans up to ₹25 lakh (industry) / ₹10 lakh (service); margin money up to applicable caps,Online through UP MSME/Directorate of Industries,,Listed as a current UP financial-support scheme on 2026 MSME portal; detailed eligibility should be checked before production use.
ODOP Margin Money Scheme,STATE,Uttar Pradesh,MSME & Export Promotion Department,MSME|artisans|entrepreneurship,Credit-linked margin-money assistance for enterprises producing the district's designated One District One Product item.,VERIFIED,https://msme1connect.up.gov.in/scheme-list/financial-assistance-scheme-for-one-district-one-product-%28odop-margin-money-scheme%29,,2026-09-19,18,,,,,,Uttar Pradesh,true,Unit must produce the ODOP-designated product for its district.,,ARTISAN/ENTREPRENEUR,,,,,,,,,,,,,,Applicant/entity should not be a defaulter of eligible banks/financial or government institutions.,Margin-money subsidy|loan facilitation,Project-cost-linked margin-money subsidy for ODOP units.,25% up to ₹6.25 lakh for projects up to ₹25 lakh; tiered support for larger projects,Online,https://www.diupmsme.upsdc.gov.in,Current official UP MSME scheme page with eligibility and benefit tiers.
ODOP Training and Toolkit Scheme,STATE,Uttar Pradesh,MSME & Export Promotion Department,artisans|skill development,Skill training and modern toolkit support for artisans connected with district-specific ODOP products.,VERIFIED,https://msme1connect.up.gov.in/scheme/up-scheme,,2026-09-19,,,,,,,Uttar Pradesh,true,,,ODOP ARTISAN/WORKER,,,,,,,,,,,,,,Must be associated with an eligible ODOP product/trade; current batch rules may vary.,Training|toolkit,Skill development and toolkit distribution for ODOP artisans.,,Online through UP MSME portal,,Listed as a current state skill-development scheme on the 2026 UP MSME portal.
"Matritva, Shishu Evam Balika Madad Yojana (UP BOCW)",STATE,Uttar Pradesh,Building & Other Construction Workers Welfare Board,labour|maternity|children,"Maternity, newborn and girl-child assistance for eligible registered construction workers and their families.",VERIFIED,https://www.vidhanparishad.up.gov.in/question-answer,,2026-09-19,,,,,,,Uttar Pradesh,true,,,REGISTERED CONSTRUCTION WORKER,,,,,,,,,,,,,,BOCW registration and scheme-specific maternity/child conditions apply.,Maternity and child financial assistance,"Financial support related to maternity, newborn care and girl child.",,UP BOCW board process,,Scheme is listed among BOCW welfare schemes with expenditure in recent state legislative records; board website updated July 2026.
Sant Ravidas Shiksha Protsahan Yojana (UP BOCW),STATE,Uttar Pradesh,Building & Other Construction Workers Welfare Board,labour|education,Education assistance for children/dependants of eligible registered construction workers.,VERIFIED,https://www.vidhanparishad.up.gov.in/question-answer,,2026-09-19,,,,,,,Uttar Pradesh,true,,,REGISTERED CONSTRUCTION WORKER/DEPENDENT,,true,,,,,,,,,,,,Parent/guardian must satisfy BOCW registration and contribution requirements; course/class conditions apply.,Education assistance,Education-linked financial support to eligible worker families.,,UP BOCW board process,,Current BOCW scheme list evidenced in state legislative material.
Kanya Vivah Sahayata Yojana (UP BOCW),STATE,Uttar Pradesh,Building & Other Construction Workers Welfare Board,labour|marriage assistance|women,Marriage assistance for eligible daughters/female registered construction workers.,VERIFIED,https://www.vidhanparishad.up.gov.in/question-answer,,2026-09-19,18,,FEMALE,,,,Uttar Pradesh,true,,,REGISTERED CONSTRUCTION WORKER/DEPENDENT,,,,,,,,ELIGIBLE FOR MARRIAGE,,,,,,,Marriage assistance,Financial assistance toward qualifying marriage expenses.,,UP BOCW board process,,Listed with substantial recent expenditure by the state construction-worker welfare board.
Nirman Kamgar Gambhir Bimari Sahayata Yojana (UP BOCW),STATE,Uttar Pradesh,Building & Other Construction Workers Welfare Board,labour|healthcare,Financial support for treatment of specified serious illnesses of registered construction workers/dependants.,VERIFIED,https://www.vidhanparishad.up.gov.in/question-answer,,2026-09-19,,,,,,,Uttar Pradesh,true,,,REGISTERED CONSTRUCTION WORKER/DEPENDENT,,,,,,,,,,,,,,Serious illness and treatment documentation must meet board rules.,Medical financial assistance,Case-based support for serious illness treatment.,,UP BOCW board process,,Scheme appears in recent official BOCW expenditure listings.
"Nirman Kamgar Mrityu, Viklangta Sahayata Evam Akshamta Pension Yojana (UP BOCW)",STATE,Uttar Pradesh,Building & Other Construction Workers Welfare Board,labour|disability|death assistance|pension,"Death, disability and incapacity support for registered construction workers and eligible dependants.",VERIFIED,https://www.vidhanparishad.up.gov.in/question-answer,,2026-09-19,,,,,,,Uttar Pradesh,true,,,REGISTERED CONSTRUCTION WORKER,,,,,,QUALIFYING DISABILITY/INCAPACITY,,,,,,,,,Death/disability assistance|pension,"Compensation or pension depending on death, disability or incapacity condition.",,UP BOCW board process,,Official state legislative records list this as an operating BOCW scheme.
Antyeshti Sahayata Yojana (UP BOCW),STATE,Uttar Pradesh,Building & Other Construction Workers Welfare Board,labour|funeral assistance,Funeral assistance following the death of an eligible registered construction worker.,VERIFIED,https://www.vidhanparishad.up.gov.in/question-answer,,2026-09-19,,,,,,,Uttar Pradesh,true,,,REGISTERED CONSTRUCTION WORKER,,,,,,,,,,,,,Claim normally made by eligible nominee/family after worker death.,,Funeral assistance,One-time funeral support.,,UP BOCW board process,,Official BOCW scheme list and recent expenditure support current operation.
Mukhyamantri Kanya Utthan Yojana,STATE,Bihar,Social Welfare / Education Department,women|girls|education,"Umbrella girl-child support programme linking birth, health, school participation and higher-education incentives.",LIKELY_ACTIVE,https://state.bihar.gov.in/cache/1/Media%20Gallery/Publications/women-empowerment.pdf,,2026-09-19,,,FEMALE,,,,Bihar,true,,,,,CONDITIONAL BY STAGE,,,,,,,,,,,Several components are limited by stage and family/beneficiary conditions; use component-specific verification.,,DBT financial assistance|education incentives,Multiple lifecycle incentives for girls from birth through education.,,Department/DBT portals depending on component,,Well-established state scheme; current component amounts and exact stage rules should be refreshed before production use.
Mukhyamantri Balika Cycle Yojana,STATE,Bihar,Education Department,students|girls|education,Cycle-purchase assistance for eligible girl students entering the specified secondary-school class.,LIKELY_ACTIVE,https://state.bihar.gov.in/cache/1/Media%20Gallery/Publications/women-empowerment.pdf,,2026-09-19,,,FEMALE,,,,Bihar,true,,,,,true,CLASS 9,,,,,,,,,,,Must be enrolled in an eligible Bihar school under current education-department rules.,Education mobility assistance,Cash assistance for purchase of a bicycle.,,School/education department DBT process,,Official Bihar publications document the scheme; latest amount/current-year circular should be rechecked.
Mukhyamantri Balak Cycle Yojana,STATE,Bihar,Education Department,students|boys|education,Cycle-purchase assistance for eligible male students at the secondary-school stage.,LIKELY_ACTIVE,https://state.bihar.gov.in/educationbihar/cache/18/LetterPdf/04Jul201334052.pdf,,2026-09-19,,,MALE,,,,Bihar,true,,,,,true,CLASS 9,,,,,,,,,,,Enrollment and attendance/current education-department conditions apply.,Education mobility assistance,Cash assistance for purchase of a bicycle.,,School/education department DBT process,,Official scheme documentation exists but the surfaced source is old; current-year continuation should be rechecked.
Mukhyamantri Poshak Yojana,STATE,Bihar,Education Department,students|education|school welfare,DBT assistance for uniforms/stationery for eligible government-supported school students.,VERIFIED,https://state.bihar.gov.in/cache/1/Smart%20City/Cabinet%20Decisions/d13082025.pdf,,2026-09-19,,,,,,,Bihar,true,,,,,true,SCHOOL,,,,,,,,,,,Current year attendance and enrollment conditions apply; 2025-26 cabinet decision used 75% attendance over the specified period for classes 2–8.,Uniform/stationery assistance,DBT support to purchase school uniform and related items.,,School/education department DBT process,,Recent Bihar cabinet decision explicitly continues the scheme.
Bihar Student Credit Card Yojana,STATE,Bihar,Higher Education / Education Finance,students|higher education|education loan,State-supported education credit for Bihar students pursuing approved higher studies.,VERIFIED,https://www.7nishchay-yuvaupmission.bihar.gov.in/logOut,,2026-09-19,,,,,,,Bihar,true,,,,,true,HIGHER EDUCATION,,,,,,,,,,,Permanent Bihar resident; qualifying education and approved course/institution conditions apply.,Education loan,State-supported student credit for higher education.,,Online + DRCC verification,https://www.7nishchay-yuvaupmission.bihar.gov.in/,Current live 7 Nishchay portal and dashboard.
Mukhyamantri Nishchay Swayam Sahayata Bhatta Yojana,STATE,Bihar,Planning & Development / Youth Mission,unemployment|youth|financial assistance,Temporary monthly allowance for eligible unemployed Bihar youth while seeking employment.,VERIFIED,https://www.7nishchay-yuvaupmission.bihar.gov.in/logOut,,2026-09-19,20,25,,,,,Bihar,true,,,,UNEMPLOYED,NOT ENROLLED IN HIGHER EDUCATION,CLASS 12 PASS / eligible graduate categories under amended rules,,,,,,,,,,,Permanent Bihar resident; mandatory KYP training; 2025 amendment expanded educational eligibility.,Unemployment allowance,Monthly assistance for a limited period while seeking work.,"₹1,000 per month for up to 2 years",Online + DRCC verification,https://www.7nishchay-yuvaupmission.bihar.gov.in/,Current portal plus 2025 cabinet amendment.
Kushal Yuva Program (KYP),STATE,Bihar,Labour Resources / Youth Mission,skill development|youth,"Basic employability, communication, IT and soft-skills training for eligible Bihar youth.",VERIFIED,https://www.7nishchay-yuvaupmission.bihar.gov.in/logOut,,2026-09-19,15,25,,,,,Bihar,true,,,,,NOT CONTINUING FORMAL EDUCATION under core eligibility,CLASS 10 OR CLASS 12 PASS/DROPOUT,,,,,,,,,,,,Skill training,Structured employability and life-skills training.,,Online + DRCC verification,https://www.7nishchay-yuvaupmission.bihar.gov.in/,Current official portal; age/education wording taken from portal.
Mukhyamantri Udyami Yojana,STATE,Bihar,Department of Industries,entrepreneurship|MSME|self-employment,"Enterprise assistance umbrella covering SC/ST, EBC, women, youth, minorities and persons with disabilities through category-specific components.",VERIFIED,https://udyami.bihar.gov.in/,,2026-09-19,,,,,,,Bihar,true,,,,ASPIRING ENTREPRENEUR,,INTERMEDIATE OR EQUIVALENT / specified technical alternatives under guidelines,,,,,,,,,,,Category-specific component rules apply; permanent residence and required certificates are mandatory. Divyangjan component requires UDID and at least 40% disability.,Enterprise grant/loan assistance,Project finance and support for setting up eligible enterprises.,,Online,https://udyami.bihar.gov.in/,Official portal shows active 2025-26 selection and 2026 updates.
Bihar Laghu Udyami Yojana,STATE,Bihar,Department of Industries,livelihood|micro-enterprise|poverty alleviation,State micro-enterprise support for eligible economically poor families to start small livelihood activities.,VERIFIED,https://udyami.bihar.gov.in/,,2026-09-19,,,,,,,Bihar,true,,,,LOW-INCOME / ASPIRING MICRO-ENTREPRENEUR,,,,,,,,,,,,,Eligibility is tied to state-defined poor-family identification and programme selection rules.,Micro-enterprise financial assistance,Staged financial support to establish a small enterprise.,,Online through Udyami portal,https://udyami.bihar.gov.in/,Current official Udyami portal lists BLUY alongside MMUY; exact current income/selection threshold should be read from latest BLUY guidelines.
Mukhyamantri Vridhjan Pension Yojana,STATE,Bihar,Social Welfare Department,senior citizens|pension,State old-age pension for Bihar residents aged 60+ who are not receiving specified government pensions.,VERIFIED,https://serviceonline.bihar.gov.in/getServiceDesc.html?serviceId=4710004,,2026-09-19,60,,,,,,Bihar,true,,,,NOT RECEIVING DISQUALIFYING GOVERNMENT PENSION,,,,,,,,,,,,,Not receiving pension/family pension/social-security pension disallowed by the scheme.,Pension,Monthly old-age pension.,,RTPS/online/kiosk/hand submission,,Bihar ServicePlus currently offers social security pension applications; amount should be checked against latest pension revision.
Bihar Shatabdi Kushth Kalyan Yojana,STATE,Bihar,Social Welfare Department,healthcare|disability|financial assistance,Monthly assistance for leprosy-affected persons with qualifying Grade-II visible deformity.,NEEDS_REVIEW,https://state.bihar.gov.in/cache/39/Chhatra%20Yojna/Mukhyamantri%20Samajik%20Sahayata%20Evam%20Protsahan%20Chhatra%20Yojna/BSLWS.pdf,,2026-09-19,,,,,,,Bihar,true,,,,,,,,,LEPROSY WITH VISIBLE DEFORMITY GRADE-II,,,,,,,,Qualifying leprosy disability status must be certified.,Monthly financial assistance,Monthly support for qualifying persons.,"₹1,500 per month in official guideline",RTPS/block office process,,"Scheme is official, but the surfaced detailed guideline is older; current benefit rate/status should be reconfirmed."
Mukhyamantri Divyangjan Sashaktikaran Chhatra Yojana 'Sambal',STATE,Bihar,Social Welfare Department,disability|assistive devices|mobility,Assistive-device and mobility support for eligible persons with disabilities under Bihar's Sambal umbrella.,VERIFIED,https://state.bihar.gov.in/cache/1/Smart%20City/Cabinet%20Decisions/D03102025.pdf,,2026-09-19,,,,,,,Bihar,true,,,,,,,,,true,,,,,,,,Device-specific disability/medical and documentation criteria apply.,Assistive devices|mobility support,Includes battery-operated tricycles and other approved assistive devices.,,Social Welfare Department / district process,,2025 cabinet decision expanded device provisions and approved additional expenditure.
Mukhyamantri Gramin Awas Yojana,STATE,Bihar,Rural Development Department,housing|rural development,State rural housing assistance for specified eligible families left out of central rural housing coverage and certain prior beneficiaries with dilapidated homes.,VERIFIED,https://state.bihar.gov.in/rdd/CitizenHome.html,,2026-09-19,,,,,,,Bihar,true,,SC|ST|EBC (among defined beneficiary groups),,,,,,,,,,,,RURAL,,,Targets qualifying households under state waiting-list/left-out rules; specific resolutions define covered groups and cases.,Housing assistance,Financial assistance for rural house construction/reconstruction.,,Rural Development Department / local verification,,Current Bihar RDD site highlights active state resolution for MAY-G.
Mukhyamantri Chikitsa Sahayata Kosh,STATE,Bihar,Health Department,healthcare|financial assistance,State medical assistance fund for eligible patients requiring financial support for specified treatment.,VERIFIED,https://state.bihar.gov.in/health/CitizenHome.html,,2026-09-19,,,,,,,Bihar,true,,,,,,,,,,,,,,,,,"Disease/treatment, hospital and financial eligibility are case-specific under fund guidelines.",Medical financial assistance,Case-based treatment assistance.,,Health Department / medical assistance fund process,,Current Bihar Health Department site lists the Chief Minister's Medical Assistance Fund.
Mukhyamantri Pichhda Varg Medhavriti Yojana,STATE,Bihar,BC & EBC Welfare Department,students|OBC welfare|scholarship,Merit incentive for eligible Backward Class students under Bihar state welfare programmes.,VERIFIED,https://state.bihar.gov.in/cache/1/Smart%20City/Cabinet%20Decisions/dd29012026.pdf,,2026-09-19,,,,FAMILY,,300000,Bihar,true,,BC,,,true,,,,,,,,,,,,Merit/exam and course conditions apply under departmental rules.,Scholarship/merit incentive,Financial incentive for qualifying meritorious BC students.,,BC & EBC Welfare Department process,,January 2026 cabinet decision raised annual family income ceiling to ₹3 lakh from FY 2026-27.
Mukhyamantri Atyant Pichhda Varg Medhavriti Yojana,STATE,Bihar,BC & EBC Welfare Department,students|EBC welfare|scholarship,Merit incentive for qualifying Extremely Backward Class students.,VERIFIED,https://state.bihar.gov.in/bcebcwelfare/CitizenHome.html,,2026-09-19,,,,,,,Bihar,true,,EBC,,,true,,,,,,,,,,,,Merit/exam and departmental eligibility conditions apply.,Scholarship/merit incentive,Financial merit support for qualifying EBC students.,,BC & EBC Welfare Department process,,Listed among the department's main current schemes on a page updated August 2026.
Mukhyamantri Atyant Pichhda Varg Civil Seva Protsahan Yojana,STATE,Bihar,BC & EBC Welfare Department,competitive exams|EBC welfare|financial assistance,One-time preparation incentive for EBC candidates who clear preliminary stages of specified competitive examinations.,VERIFIED,https://state.bihar.gov.in/cache/41/Department%20Info/Schemes/varsik2025s.pdf,,2026-09-19,,,,,,,Bihar,true,,EBC,,,COMPETITIVE EXAM CANDIDATE,,,,,,,,,,,,Must clear a covered preliminary examination; scheme has been expanded beyond BPSC/UPSC to additional notified exams.,Exam preparation incentive,One-time financial assistance after clearing covered preliminary exams.,"₹50,000 for BPSC PT and ₹1,00,000 for UPSC Civil Services PT in documented rules",BC & EBC Welfare Department process,,Recent department annual material describes expanded current coverage.
Mukhyamantri Pichhda Varg Evam Atyant Pichhda Varg Chhatravas Anudan Yojana,STATE,Bihar,BC & EBC Welfare Department,students|hostel|OBC/EBC welfare,Monthly hostel grant for eligible BC/EBC students residing in covered welfare hostels.,VERIFIED,https://state.bihar.gov.in/cache/1/Smart%20City/Cabinet%20Decisions/dd29012026.pdf,,2026-09-19,,,,,,,Bihar,true,,BC|EBC,,,true,,,,,,,,,,,,Must be an eligible student in a covered departmental hostel.,Hostel grant,Monthly support for hostel-resident students.,"₹2,000 per student per month from FY 2025-26",Through covered welfare hostel/department,,"January 2026 cabinet decision explicitly revises the monthly grant to ₹2,000."
Mukhyamantri Pichhda Varg Evam Atyant Pichhda Varg Kaushal Vikas Yojana,STATE,Bihar,BC & EBC Welfare Department,skill development|OBC/EBC welfare,Skill-development programme for eligible Backward and Extremely Backward Class youth.,VERIFIED,https://state.bihar.gov.in/bcebcwelfare/CitizenHome.html,,2026-09-19,,,,,,,Bihar,true,,BC|EBC,,YOUTH/TRAINEE,,,,,,,,,,,,,,Skill training,Department-supported vocational/skill development.,,BC & EBC Welfare Department / training centre process,,Listed among current departmental schemes on page updated August 2026.
Mukhyamantri Ladli Behna Yojana,STATE,Madhya Pradesh,Women & Child Development Department,women|financial assistance,Direct monthly income support for eligible adult women of Madhya Pradesh.,VERIFIED,https://www.cmhelpline.mp.gov.in/KnowYourEntitleDetail.aspx?Schemeid=964&pointvalue=4&status=BySchemeFor,,2026-09-19,,,FEMALE,,,,Madhya Pradesh,true,,,,,,,,,,,,,,,,,"Age, marital/family, tax/asset and other exclusions apply under current scheme rules.",Monthly DBT,Monthly direct financial support to eligible women.,,Scheme portal/local camp/department process,,Current MP CM Helpline scheme page and 2026 payment-resolution records confirm operation; current amount/exclusion thresholds should be read from live guidelines.
Mukhyamantri Ladli Laxmi Yojana,STATE,Madhya Pradesh,Women & Child Development Department,girls|education|social welfare,"Long-term state support for eligible girl children to improve education, health and social outcomes.",VERIFIED,https://www.cmhelpline.mp.gov.in/Schmedetail.aspx?Schemeid=246,,2026-09-19,,,FEMALE,,,,Madhya Pradesh,true,,,,,GIRL CHILD / STUDENT BY STAGE,,,,,,,,,,,Family-planning/birth-order and specified exception rules apply.,,Lifecycle financial assistance|education support,Stage-based financial support for eligible girls.,,Women & Child Development scheme process,,Current MP scheme dashboard lists the scheme and eligibility framework.
Mukhyamantri Bal Ashirwad Yojana,STATE,Madhya Pradesh,Women & Child Development Department,children|orphan support|education,After-care and sponsorship support for eligible orphaned/vulnerable children leaving child-care institutions or living with guardians.,VERIFIED,https://www.cmhelpline.mp.gov.in/Schmegrid.aspx?pointvalue=5&status=BySchemeBenifits,,2026-09-19,,,,,,,Madhya Pradesh,true,,,,,CHILD/YOUTH,,,,,,,,,,,,Eligibility differs between after-care and sponsorship components.,Financial assistance|education/after-care support,"Support for education, transition and maintenance of eligible children/youth.",,Women & Child Development Department process,,Listed as a current beneficiary scheme on MP CM Helpline; detailed component thresholds should be checked in live guidelines.
Mukhyamantri Kisan Kalyan Yojana,STATE,Madhya Pradesh,Revenue Department,farmers|agriculture|financial assistance,"State income support for eligible farmers, complementary to agricultural welfare objectives.",VERIFIED,https://www.cmhelpline.mp.gov.in/Schmedetail.aspx?Schemeid=606,,2026-09-19,,,,,,,Madhya Pradesh,true,,,FARMER,,,,true,,,,,,,,,,Current beneficiary linkage and land/farmer-record conditions apply.,Farmer income support,Periodic financial assistance to eligible farmers.,,Revenue/agriculture-linked beneficiary system,,Current MP government scheme dashboard.
Mukhyamantri Seekho Kamao Yojana,STATE,Madhya Pradesh,"Technical Education, Skill Development & Employment Department",skill development|youth|employment,On-the-job training programme placing eligible youth with registered establishments and paying a stipend.,VERIFIED,https://www.cmhelpline.mp.gov.in/Schmedetail.aspx?Schemeid=975,,2026-09-19,18,29,,,,,Madhya Pradesh,true,,,,TRAINEE,,CLASS 12 / ITI OR HIGHER,,,,,,,,,,,,OJT training|stipend,On-the-job training with stipend and training support.,,Online,https://mmsky.mp.gov.in,"Current official page provides age, residency and education eligibility."
