scheme_name,rule_id,field,operator,value,value_type,rule_group,source_basis,confidence,notes
National Livestock Mission - Entrepreneurship Development Programme,R0019,occupation,in,Individual entrepreneur|SHG|JLG|FPO|Dairy cooperative|Section 8 company|Eligible entity,string,ALL,normalized_from_master,MEDIUM,
PM Formalisation of Micro Food Processing Enterprises (PMFME),R0020,occupation,in,Micro food-processing entrepreneur|SHG|FPO|Cooperative|Eligible group,string,ALL,normalized_from_master,HIGH,
PM-USP Central Sector Scheme of Scholarship for College and University Students (CSSS),R0021,family_annual_income,<=,800000,number,ALL,normalized_from_master,HIGH,
PM-USP Central Sector Scheme of Scholarship for College and University Students (CSSS),R0022,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
PM-USP Central Sector Scheme of Scholarship for College and University Students (CSSS),R0023,education_level,in,Undergraduate|Postgraduate,string,ALL,normalized_from_master,HIGH,
National Means-cum-Merit Scholarship Scheme (NMMSS),R0024,family_annual_income,<=,350000,number,ALL,normalized_from_master,HIGH,
National Means-cum-Merit Scholarship Scheme (NMMSS),R0025,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
National Means-cum-Merit Scholarship Scheme (NMMSS),R0026,education_level,in,Class IX|Class X|Class XI|Class XII,string,ALL,normalized_from_master,HIGH,
National Scholarship for Post Graduate Studies,R0027,age,<=,30,number,ALL,normalized_from_master,HIGH,
National Scholarship for Post Graduate Studies,R0028,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
National Scholarship for Post Graduate Studies,R0029,education_level,equals,Postgraduate,string,ALL,normalized_from_master,HIGH,
Ishan Uday Special Scholarship Scheme for North Eastern Region,R0030,family_annual_income,<=,450000,number,ALL,normalized_from_master,HIGH,
Ishan Uday Special Scholarship Scheme for North Eastern Region,R0031,state_or_ut,in,Assam|Arunachal Pradesh|Manipur|Meghalaya|Mizoram|Nagaland|Sikkim|Tripura,string,ALL,normalized_from_master,HIGH,
Ishan Uday Special Scholarship Scheme for North Eastern Region,R0032,domicile,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Ishan Uday Special Scholarship Scheme for North Eastern Region,R0033,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Ishan Uday Special Scholarship Scheme for North Eastern Region,R0034,education_level,equals,Undergraduate,string,ALL,normalized_from_master,HIGH,
AICTE Pragati Scholarship Scheme for Girl Students (Technical Degree/Diploma),R0035,gender,equals,FEMALE,string,ALL,normalized_from_master,HIGH,
AICTE Pragati Scholarship Scheme for Girl Students (Technical Degree/Diploma),R0036,family_annual_income,<=,800000,number,ALL,normalized_from_master,HIGH,
AICTE Pragati Scholarship Scheme for Girl Students (Technical Degree/Diploma),R0037,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
AICTE Pragati Scholarship Scheme for Girl Students (Technical Degree/Diploma),R0038,education_level,in,Technical Diploma|Technical Undergraduate Degree,string,ALL,normalized_from_master,HIGH,
AICTE Saksham Scholarship Scheme for Specially Abled Students (Technical Degree/Diploma),R0039,family_annual_income,<=,800000,number,ALL,normalized_from_master,HIGH,
AICTE Saksham Scholarship Scheme for Specially Abled Students (Technical Degree/Diploma),R0040,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
AICTE Saksham Scholarship Scheme for Specially Abled Students (Technical Degree/Diploma),R0041,education_level,in,Technical Diploma|Technical Undergraduate Degree,string,ALL,normalized_from_master,HIGH,
AICTE Saksham Scholarship Scheme for Specially Abled Students (Technical Degree/Diploma),R0042,disability_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
AICTE Saksham Scholarship Scheme for Specially Abled Students (Technical Degree/Diploma),R0043,disability_percentage,>=,40,number,ALL,normalized_from_master,HIGH,
AICTE Swanath Scholarship Scheme (Technical Degree/Diploma),R0044,family_annual_income,<=,800000,number,ALL,normalized_from_master,HIGH,
AICTE Swanath Scholarship Scheme (Technical Degree/Diploma),R0045,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
AICTE Swanath Scholarship Scheme (Technical Degree/Diploma),R0046,education_level,in,Technical Diploma|Technical Undergraduate Degree,string,ALL,normalized_from_master,HIGH,
PM-USP Special Scholarship Scheme for Jammu & Kashmir and Ladakh,R0047,family_annual_income,<=,800000,number,ALL,normalized_from_master,HIGH,
PM-USP Special Scholarship Scheme for Jammu & Kashmir and Ladakh,R0048,state_or_ut,in,Jammu and Kashmir|Ladakh,string,ALL,normalized_from_master,HIGH,
PM-USP Special Scholarship Scheme for Jammu & Kashmir and Ladakh,R0049,domicile,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
PM-USP Special Scholarship Scheme for Jammu & Kashmir and Ladakh,R0050,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
PM-USP Special Scholarship Scheme for Jammu & Kashmir and Ladakh,R0051,education_level,in,Undergraduate|Eligible lateral-entry engineering,string,ALL,normalized_from_master,HIGH,
Pre-Matric Scholarship for Students with Disabilities,R0052,family_annual_income,<=,250000,number,ALL,normalized_from_master,HIGH,
Pre-Matric Scholarship for Students with Disabilities,R0053,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Pre-Matric Scholarship for Students with Disabilities,R0054,education_level,in,Class IX|Class X,string,ALL,normalized_from_master,HIGH,
Pre-Matric Scholarship for Students with Disabilities,R0055,disability_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Pre-Matric Scholarship for Students with Disabilities,R0056,disability_percentage,>=,40,number,ALL,normalized_from_master,HIGH,
Post-Matric Scholarship for Students with Disabilities,R0057,family_annual_income,<=,250000,number,ALL,normalized_from_master,HIGH,
Post-Matric Scholarship for Students with Disabilities,R0058,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Post-Matric Scholarship for Students with Disabilities,R0059,education_level,in,Class XI|Class XII|Diploma|Undergraduate|Postgraduate,string,ALL,normalized_from_master,HIGH,
Post-Matric Scholarship for Students with Disabilities,R0060,disability_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Post-Matric Scholarship for Students with Disabilities,R0061,disability_percentage,>=,40,number,ALL,normalized_from_master,HIGH,
Top Class Education Scholarship for Students with Benchmark Disabilities,R0062,family_annual_income,<=,800000,number,ALL,normalized_from_master,HIGH,
Top Class Education Scholarship for Students with Benchmark Disabilities,R0063,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Top Class Education Scholarship for Students with Benchmark Disabilities,R0064,education_level,in,Diploma|Undergraduate|Postgraduate,string,ALL,normalized_from_master,HIGH,
Top Class Education Scholarship for Students with Benchmark Disabilities,R0065,disability_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Top Class Education Scholarship for Students with Benchmark Disabilities,R0066,disability_percentage,>=,40,number,ALL,normalized_from_master,HIGH,
"PM-YASASVI Top Class School Education for OBC, EBC and DNT Students",R0067,family_annual_income,<=,250000,number,ALL,normalized_from_master,HIGH,
"PM-YASASVI Top Class School Education for OBC, EBC and DNT Students",R0068,social_category,in,OBC|EBC|DNT,string,ALL,normalized_from_master,HIGH,
"PM-YASASVI Top Class School Education for OBC, EBC and DNT Students",R0069,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
"PM-YASASVI Top Class School Education for OBC, EBC and DNT Students",R0070,education_level,in,Class IX|Class X|Class XI|Class XII,string,ALL,normalized_from_master,HIGH,
"PM-YASASVI Top Class College Education for OBC, EBC and DNT Students",R0071,family_annual_income,<=,250000,number,ALL,normalized_from_master,HIGH,
"PM-YASASVI Top Class College Education for OBC, EBC and DNT Students",R0072,social_category,in,OBC|EBC|DNT,string,ALL,normalized_from_master,HIGH,
"PM-YASASVI Top Class College Education for OBC, EBC and DNT Students",R0073,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
"PM-YASASVI Top Class College Education for OBC, EBC and DNT Students",R0074,education_level,in,Undergraduate|Postgraduate|Professional,string,ALL,normalized_from_master,HIGH,
Post-Matric Scholarship for Scheduled Caste Students,R0075,family_annual_income,<=,250000,number,ALL,normalized_from_master,HIGH,
Post-Matric Scholarship for Scheduled Caste Students,R0076,domicile,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Post-Matric Scholarship for Scheduled Caste Students,R0077,social_category,equals,SC,string,ALL,normalized_from_master,HIGH,
Post-Matric Scholarship for Scheduled Caste Students,R0078,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Post-Matric Scholarship for Scheduled Caste Students,R0079,education_level,in,Post-Matric|Diploma|Undergraduate|Postgraduate|Professional,string,ALL,normalized_from_master,HIGH,
Central Sector Scholarship of Top Class Education for SC Students,R0080,social_category,equals,SC,string,ALL,normalized_from_master,HIGH,
Central Sector Scholarship of Top Class Education for SC Students,R0081,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Central Sector Scholarship of Top Class Education for SC Students,R0082,education_level,in,Undergraduate|Postgraduate|Professional,string,ALL,normalized_from_master,HIGH,
National Overseas Scholarship for SC etc. Candidates,R0083,social_category,in,SC|DNT|Nomadic/Semi-Nomadic Tribes,string,ALL,normalized_from_master,HIGH,
National Overseas Scholarship for SC etc. Candidates,R0084,occupation,in,Landless Agricultural Labourer|Traditional Artisan,string,ALL,normalized_from_master,HIGH,
National Overseas Scholarship for SC etc. Candidates,R0085,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
National Overseas Scholarship for SC etc. Candidates,R0086,education_level,in,Masters|PhD,string,ALL,normalized_from_master,HIGH,
National Fellowship for Scheduled Caste Students (NFSC),R0087,social_category,equals,SC,string,ALL,normalized_from_master,HIGH,
National Fellowship for Scheduled Caste Students (NFSC),R0088,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
National Fellowship for Scheduled Caste Students (NFSC),R0089,education_level,equals,PhD,string,ALL,normalized_from_master,HIGH,
Pre-Matric Scholarship for ST Students (Classes IX-X),R0090,social_category,equals,ST,string,ALL,normalized_from_master,HIGH,
Pre-Matric Scholarship for ST Students (Classes IX-X),R0091,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Pre-Matric Scholarship for ST Students (Classes IX-X),R0092,education_level,in,Class IX|Class X,string,ALL,normalized_from_master,HIGH,
Post-Matric Scholarship for ST Students,R0093,social_category,equals,ST,string,ALL,normalized_from_master,HIGH,
Post-Matric Scholarship for ST Students,R0094,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Post-Matric Scholarship for ST Students,R0095,education_level,in,Post-Matric|Diploma|Undergraduate|Postgraduate|Professional,string,ALL,normalized_from_master,HIGH,
National Fellowship and Scholarship for Higher Education of ST Students,R0096,social_category,equals,ST,string,ALL,normalized_from_master,HIGH,
National Fellowship and Scholarship for Higher Education of ST Students,R0097,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
National Fellowship and Scholarship for Higher Education of ST Students,R0098,education_level,in,Undergraduate|Postgraduate|Professional|PhD,string,ALL,normalized_from_master,HIGH,
National Overseas Scholarship for ST Students,R0099,social_category,equals,ST,string,ALL,normalized_from_master,HIGH,
National Overseas Scholarship for ST Students,R0100,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
National Overseas Scholarship for ST Students,R0101,education_level,in,Masters|PhD|Postdoctoral (as permitted by current guidelines),string,ALL,normalized_from_master,HIGH,
Pradhan Mantri Matru Vandana Yojana (PMMVY),R0102,gender,equals,FEMALE,string,ALL,normalized_from_master,HIGH,
One Stop Centre (OSC) Scheme,R0103,gender,equals,FEMALE,string,ALL,normalized_from_master,HIGH,
Palna - National Programme on Anganwadi-cum-Crèches,R0104,age,>=,0.5,number,ALL,normalized_from_master,HIGH,
Palna - National Programme on Anganwadi-cum-Crèches,R0105,age,<=,6,number,ALL,normalized_from_master,HIGH,
Janani Suraksha Yojana (JSY),R0106,gender,equals,FEMALE,string,ALL,normalized_from_master,HIGH,
Janani Shishu Suraksha Karyakram (JSSK),R0107,gender,equals,FEMALE,string,ALL,normalized_from_master,HIGH,
Pradhan Mantri Surakshit Matritva Abhiyan (PMSMA),R0108,gender,equals,FEMALE,string,ALL,normalized_from_master,HIGH,
Rashtriya Bal Swasthya Karyakram (RBSK),R0109,age,>=,0,number,ALL,normalized_from_master,HIGH,
Rashtriya Bal Swasthya Karyakram (RBSK),R0110,age,<=,18,number,ALL,normalized_from_master,HIGH,
Ayushman Vay Vandana Card (PM-JAY coverage for senior citizens aged 70+),R0111,age,>=,70,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),R0112,age,>=,18,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),R0113,age,<=,50,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Suraksha Bima Yojana (PMSBY),R0114,age,>=,18,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Suraksha Bima Yojana (PMSBY),R0115,age,<=,70,number,ALL,normalized_from_master,HIGH,
Atal Pension Yojana (APY),R0116,age,>=,18,number,ALL,normalized_from_master,HIGH,
Atal Pension Yojana (APY),R0117,age,<=,40,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Shram Yogi Maan-dhan (PM-SYM),R0118,age,>=,18,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Shram Yogi Maan-dhan (PM-SYM),R0119,age,<=,40,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Shram Yogi Maan-dhan (PM-SYM),R0120,individual_monthly_income,<=,15000,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Shram Yogi Maan-dhan (PM-SYM),R0121,occupation,equals,Unorganised worker,string,ALL,normalized_from_master,HIGH,
Pradhan Mantri Shram Yogi Maan-dhan (PM-SYM),R0122,employment_status,equals,Unorganised,string,ALL,normalized_from_master,HIGH,
National Pension Scheme for Traders and Self Employed Persons (NPS-Traders / PM-LVM),R0123,age,>=,18,number,ALL,normalized_from_master,HIGH,
National Pension Scheme for Traders and Self Employed Persons (NPS-Traders / PM-LVM),R0124,age,<=,40,number,ALL,normalized_from_master,HIGH,
National Pension Scheme for Traders and Self Employed Persons (NPS-Traders / PM-LVM),R0125,annual_turnover,<=,15000000,number,ALL,normalized_from_master,HIGH,
National Pension Scheme for Traders and Self Employed Persons (NPS-Traders / PM-LVM),R0126,occupation,in,Retail trader|Shopkeeper|Self-employed person,string,ALL,normalized_from_master,HIGH,
National Pension Scheme for Traders and Self Employed Persons (NPS-Traders / PM-LVM),R0127,employment_status,equals,Self-employed,string,ALL,normalized_from_master,HIGH,
Indira Gandhi National Old Age Pension Scheme (IGNOAPS),R0128,age,>=,60,number,ALL,normalized_from_master,HIGH,
Indira Gandhi National Old Age Pension Scheme (IGNOAPS),R0129,bpl_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Indira Gandhi National Widow Pension Scheme (IGNWPS),R0130,age,>=,40,number,ALL,normalized_from_master,HIGH,
Indira Gandhi National Widow Pension Scheme (IGNWPS),R0131,age,<=,79,number,ALL,normalized_from_master,HIGH,
Indira Gandhi National Widow Pension Scheme (IGNWPS),R0132,gender,equals,FEMALE,string,ALL,normalized_from_master,HIGH,
Indira Gandhi National Widow Pension Scheme (IGNWPS),R0133,marital_status,equals,WIDOWED,string,ALL,normalized_from_master,HIGH,
Indira Gandhi National Widow Pension Scheme (IGNWPS),R0134,widow_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Indira Gandhi National Widow Pension Scheme (IGNWPS),R0135,bpl_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Indira Gandhi National Disability Pension Scheme (IGNDPS),R0136,age,>=,18,number,ALL,normalized_from_master,HIGH,
Indira Gandhi National Disability Pension Scheme (IGNDPS),R0137,age,<=,79,number,ALL,normalized_from_master,HIGH,
Indira Gandhi National Disability Pension Scheme (IGNDPS),R0138,disability_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Indira Gandhi National Disability Pension Scheme (IGNDPS),R0139,disability_percentage,>=,80,number,ALL,normalized_from_master,HIGH,
Indira Gandhi National Disability Pension Scheme (IGNDPS),R0140,bpl_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
National Family Benefit Scheme (NFBS),R0141,bpl_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Annapurna Scheme (NSAP),R0142,age,>=,65,number,ALL,normalized_from_master,HIGH,
Annapurna Scheme (NSAP),R0143,bpl_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Rashtriya Vayoshri Yojana (RVY),R0144,age,>=,60,number,ALL,normalized_from_master,HIGH,
Rashtriya Vayoshri Yojana (RVY),R0145,individual_monthly_income,<=,15000,number,ALL,normalized_from_master,HIGH,
Rashtriya Vayoshri Yojana (RVY),R0146,disability_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Assistance to Disabled Persons for Purchase/Fitting of Aids and Appliances (ADIP),R0147,individual_monthly_income,<=,30000,number,ALL,normalized_from_master,HIGH,
Assistance to Disabled Persons for Purchase/Fitting of Aids and Appliances (ADIP),R0148,disability_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
Assistance to Disabled Persons for Purchase/Fitting of Aids and Appliances (ADIP),R0149,disability_percentage,>=,40,number,ALL,normalized_from_master,HIGH,
PM-DAKSH (Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi),R0150,age,>=,18,number,ALL,normalized_from_master,HIGH,
PM-DAKSH (Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi),R0151,age,<=,45,number,ALL,normalized_from_master,HIGH,
PM-DAKSH (Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi),R0152,social_category,in,SC|OBC|EWS|DNT|Safai Karamchari/Dependent|Waste Picker|Transgender (as notified),string,ALL,normalized_from_master,HIGH,
PM-DAKSH (Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi),R0153,employment_status,in,Unemployed|Underemployed|Self-employed,string,ALL,normalized_from_master,HIGH,
Prime Minister's Employment Generation Programme (PMEGP),R0154,age,>=,18,number,ALL,normalized_from_master,HIGH,
Prime Minister's Employment Generation Programme (PMEGP),R0155,employment_status,equals,Self-employed / Aspiring entrepreneur,string,ALL,normalized_from_master,HIGH,
Pradhan Mantri MUDRA Yojana (PMMY),R0156,occupation,in,Micro entrepreneur|Self-employed,string,ALL,normalized_from_master,HIGH,
Pradhan Mantri MUDRA Yojana (PMMY),R0157,employment_status,equals,Self-employed,string,ALL,normalized_from_master,HIGH,
Stand-Up India,R0158,age,>=,18,number,ALL,normalized_from_master,HIGH,
Stand-Up India,R0159,occupation,equals,Entrepreneur,string,ALL,normalized_from_master,HIGH,
Stand-Up India,R0160,employment_status,equals,Self-employed / Aspiring entrepreneur,string,ALL,normalized_from_master,HIGH,
PM Vishwakarma,R0161,age,>=,18,number,ALL,normalized_from_master,HIGH,
PM Vishwakarma,R0162,occupation,equals,Artisan/craftsperson in one of 18 notified traditional trades,string,ALL,normalized_from_master,HIGH,
PM Vishwakarma,R0163,employment_status,equals,Self-employed,string,ALL,normalized_from_master,HIGH,
PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),R0164,occupation,in,Street vendor|Hawker,string,ALL,normalized_from_master,HIGH,
PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),R0165,employment_status,equals,Self-employed,string,ALL,normalized_from_master,HIGH,
PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),R0166,residence_type,in,URBAN/PERI-URBAN/CENSUS-TOWN AS NOTIFIED,string,ALL,normalized_from_master,MEDIUM,
Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY 2.0),R0167,age,>=,15,number,ALL,normalized_from_master,HIGH,
Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY 2.0),R0168,employment_status,equals,Unemployed / Underemployed,string,ALL,normalized_from_master,HIGH,
Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY 2.0),R0169,residence_type,equals,RURAL,string,ALL,normalized_from_master,HIGH,
Rural Self Employment Training Institutes (RSETI 2.0),R0170,age,>=,18,number,ALL,normalized_from_master,HIGH,
Rural Self Employment Training Institutes (RSETI 2.0),R0171,age,<=,45,number,ALL,normalized_from_master,HIGH,
Rural Self Employment Training Institutes (RSETI 2.0),R0172,employment_status,equals,Unemployed / Aspiring self-employed,string,ALL,normalized_from_master,HIGH,
Rural Self Employment Training Institutes (RSETI 2.0),R0173,residence_type,equals,RURAL,string,ALL,normalized_from_master,HIGH,
National Career Service (NCS),R0174,age,>=,14,number,ALL,normalized_from_master,HIGH,
National Apprenticeship Training Scheme (NATS 2.0),R0175,employment_status,equals,Fresher / Apprentice,string,ALL,normalized_from_master,HIGH,
National Apprenticeship Training Scheme (NATS 2.0),R0176,student_status,boolean_equals,true,boolean,ALL,normalized_from_master,HIGH,
National Apprenticeship Training Scheme (NATS 2.0),R0177,education_level,in,Graduate|Diploma|Vocational Certificate,string,ALL,normalized_from_master,HIGH,
Pradhan Mantri Kaushal Vikas Yojana 4.0 (PMKVY 4.0),R0178,age,>=,15,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Kaushal Vikas Yojana 4.0 (PMKVY 4.0),R0179,employment_status,equals,Unemployed / Out-of-education / Seeking skilling,string,ALL,normalized_from_master,HIGH,
Deendayal Antyodaya Yojana - National Rural Livelihoods Mission (DAY-NRLM),R0180,gender,equals,FEMALE,string,ALL,normalized_from_master,HIGH,
Deendayal Antyodaya Yojana - National Rural Livelihoods Mission (DAY-NRLM),R0181,residence_type,equals,RURAL,string,ALL,normalized_from_master,HIGH,
National Apprenticeship Promotion Scheme 2.0 (NAPS-2),R0182,employment_status,equals,Apprentice / Seeking apprenticeship,string,ALL,normalized_from_master,HIGH,
PM VIKAS (Pradhan Mantri Virasat Ka Samvardhan),R0183,age,>=,14,number,ALL,normalized_from_master,HIGH,
PM VIKAS (Pradhan Mantri Virasat Ka Samvardhan),R0184,age,<=,45,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Awaas Yojana - Gramin (PMAY-G),R0185,residence_type,equals,RURAL,string,ALL,normalized_from_master,HIGH,
Pradhan Mantri Awas Yojana - Urban 2.0 (PMAY-U 2.0),R0186,household_annual_income,<=,900000,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Awas Yojana - Urban 2.0 (PMAY-U 2.0),R0187,residence_type,equals,URBAN,string,ALL,normalized_from_master,HIGH,
Pradhan Mantri Ujjwala Yojana 2.0 (PMUY),R0188,age,>=,18,number,ALL,normalized_from_master,HIGH,
Pradhan Mantri Ujjwala Yojana 2.0 (PMUY),R0189,gender,equals,FEMALE,string,ALL,normalized_from_master,HIGH,
Swachh Bharat Mission - Grameen Phase II (Individual Household Latrine incentive),R0190,residence_type,equals,RURAL,string,ALL,normalized_from_master,HIGH,
Jal Jeevan Mission (JJM),R0191,residence_type,equals,RURAL,string,ALL,normalized_from_master,HIGH,
SVAMITVA Scheme,R0192,residence_type,equals,RURAL,string,ALL,normalized_from_master,HIGH,
Viksit Bharat - Guarantee for Rozgar and Ajeevika Mission (Gramin) (VB-G RAM G),R0193,age,>=,18,number,ALL,normalized_from_master,HIGH,
Viksit Bharat - Guarantee for Rozgar and Ajeevika Mission (Gramin) (VB-G RAM G),R0194,employment_status,equals,Seeking unskilled manual wage work,string,ALL,normalized_from_master,HIGH,
Viksit Bharat - Guarantee for Rozgar and Ajeevika Mission (Gramin) (VB-G RAM G),R0195,residence_type,equals,RURAL,string,ALL,normalized_from_master,HIGH,
Pradhan Mantri Fasal Bima Yojana (PMFBY),R0196,crop_notified,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Application is crop/season/area specific.
Pradhan Mantri Fasal Bima Yojana (PMFBY),R0197,area_notified,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Application is crop/season/area specific.
PM-USP Central Sector Scheme of Scholarship for College and University Students (CSSS),R0198,regular_course,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Regular-course requirement.
PM-USP Central Sector Scheme of Scholarship for College and University Students (CSSS),R0199,receiving_other_scholarship,boolean_equals,false,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,No concurrent scholarship/fee reimbursement under core rule.
National Means-cum-Merit Scholarship Scheme (NMMSS),R0200,school_type,in,Government|Government-aided|Local-body,string,ALL,explicit_condition_from_official_scheme_text,HIGH,Base eligible school types.
AICTE Pragati Scholarship Scheme for Girl Students (Technical Degree/Diploma),R0201,institution_aicte_approved,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Must be AICTE-approved.
AICTE Saksham Scholarship Scheme for Specially Abled Students (Technical Degree/Diploma),R0202,institution_aicte_approved,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Must be AICTE-approved.
