scheme_name,government_level,state_or_ut,ministry_or_department,category,short_description,status_confidence,official_source_url,secondary_source_url,last_checked_date,age_min,age_max,gender,income_type,income_min,income_max,state_or_ut_requirement,domicile_requirement,district_requirement,social_category,occupation,employment_status,student_status,education_level,farmer_status,land_holding_requirement,disability_status,disability_percentage_min,marital_status,widow_status,bpl_status,rural_urban_requirement,minority_requirement,family_conditions,other_eligibility_conditions,benefit_type,benefit_summary,benefit_amount,application_method,official_application_url,confidence_notes
PM-USP Central Sector Scheme of Scholarship for College and University Students (CSSS),CENTRAL,All India,"Department of Higher Education, Ministry of Education",Students,Merit-cum-means scholarship for students entering regular higher education after Class XII.,VERIFIED,https://scholarships.gov.in/All-Scholarships,,2026-09-19,,,ANY,FAMILY_ANNUAL,,800000,,,,,,,true,Undergraduate|Postgraduate,,,,,,,,,,,"Generally requires above-80th-percentile performance in relevant Class XII stream, regular course, and no concurrent scholarship/fee-reimbursement benefit; diploma courses are excluded.",Scholarship,Annual scholarship support for eligible regular college/university students; rates vary by course/year.,Varies by level/year,Online through National Scholarship Portal (NSP).,https://scholarships.gov.in/,Scheme is listed/open on NSP for academic year 2026-27; income ceiling is from official scheme guidance.
National Means-cum-Merit Scholarship Scheme (NMMSS),CENTRAL,All India,"Department of School Education & Literacy, Ministry of Education",Students,Scholarship intended to reduce Class VIII-stage dropouts and support meritorious students from lower-income families through secondary school.,VERIFIED,https://scholarships.gov.in/All-Scholarships,,2026-09-19,,,ANY,FAMILY_ANNUAL,,350000,,,,,,,true,Class IX|Class X|Class XI|Class XII,,,,,,,,,,,Student generally studies in Government/Government-aided/local-body school; selection follows State/UT exam and academic criteria. KVS/NVS and specified residential/private schools are excluded.,Scholarship,"Scholarship for selected students from Class IX, renewable through Class XII subject to conditions.","₹12,000 per year",Selection through State/UT NMMSS examination; scholarship application/renewal on NSP.,https://scholarships.gov.in/,Active in 2026-27 on NSP; current official guidelines use family income ceiling ₹3.5 lakh.
National Scholarship for Post Graduate Studies,CENTRAL,All India,"University Grants Commission, Ministry of Education",Students,Scholarship for students in the first year of a regular full-time postgraduate degree programme.,VERIFIED,https://www.ugc.gov.in/Scholarships/stu_Scholarship6,,2026-09-19,,30,ANY,,,,,,,,,,true,Postgraduate,,,,,,,,,,,Must be admitted in first year of a regular/full-time recognized PG degree; integrated-programme PG component may be covered per rules.,Scholarship,Scholarship for eligible PG students selected under UGC/NSP norms.,₹1.5 lakh per year for up to 2 years,Online through National Scholarship Portal.,https://scholarships.gov.in/,UGC scheme page and 2026-27 NSP listing used.
Ishan Uday Special Scholarship Scheme for North Eastern Region,CENTRAL,North Eastern Region,"University Grants Commission, Ministry of Education",Students,Higher-education scholarship for eligible students domiciled in the North Eastern Region.,LIKELY_ACTIVE,https://scholarships.gov.in/All-Scholarships,,2026-09-19,,,ANY,FAMILY_ANNUAL,,450000,Assam|Arunachal Pradesh|Manipur|Meghalaya|Mizoram|Nagaland|Sikkim|Tripura,true,,,,,true,Undergraduate,,,,,,,,,,,Typically requires Class XII/equivalent from a school in the NER and admission to a recognized first-degree programme; latest detailed course/rate conditions should be checked on NSP.,Scholarship,Monthly/annual scholarship support for eligible first-degree students from the North Eastern Region.,,Online through National Scholarship Portal.,https://scholarships.gov.in/,Listed on NSP for 2026-27. Income and domicile normalization reflects established scheme criteria; current benefit rates were not re-entered without a fresh official amount check.
AICTE Pragati Scholarship Scheme for Girl Students (Technical Degree/Diploma),CENTRAL,All India,"All India Council for Technical Education (AICTE), Ministry of Education",Women,Scholarship supporting girl students admitted to eligible AICTE-approved technical degree or diploma programmes.,VERIFIED,https://scholarships.gov.in/All-Scholarships,,2026-09-19,,,FEMALE,FAMILY_ANNUAL,,800000,,,,,,,true,Technical Diploma|Technical Undergraduate Degree,,,,,,,,,,"Up to the scheme-permitted number of girl beneficiaries per family, subject to current AICTE rules.",Admission in eligible AICTE-approved degree/diploma programme; current year/entry-route and family-count conditions apply.,Scholarship,Scholarship support for eligible girl students in AICTE-approved institutions.,,Online through National Scholarship Portal.,https://scholarships.gov.in/,Degree and diploma variants are open on NSP in 2026-27. Family income ceiling is supported by AICTE FAQ; current benefit amount left blank rather than relying on an older rate.
AICTE Saksham Scholarship Scheme for Specially Abled Students (Technical Degree/Diploma),CENTRAL,All India,"All India Council for Technical Education (AICTE), Ministry of Education",Disability,Scholarship for students with benchmark disability in eligible AICTE-approved technical degree or diploma programmes.,VERIFIED,https://scholarships.gov.in/All-Scholarships,,2026-09-19,,,ANY,FAMILY_ANNUAL,,800000,,,,,,,true,Technical Diploma|Technical Undergraduate Degree,,,true,40,,,,,,,Admission in an eligible AICTE-approved technical degree/diploma programme; disability proof and current-entry conditions apply.,Scholarship,Scholarship support for eligible students with benchmark disabilities in AICTE-approved programmes.,,Online through National Scholarship Portal.,https://scholarships.gov.in/,Degree and diploma variants are open on NSP in 2026-27. Current scholarship amount left blank because the retrieved AICTE FAQ containing an amount was older.
AICTE Swanath Scholarship Scheme (Technical Degree/Diploma),CENTRAL,All India,"All India Council for Technical Education (AICTE), Ministry of Education",Students,Scholarship for specified vulnerable student groups in AICTE-approved technical degree/diploma programmes.,LIKELY_ACTIVE,https://scholarships.gov.in/All-Scholarships,,2026-09-19,,,ANY,FAMILY_ANNUAL,,800000,,,,,,,true,Technical Diploma|Technical Undergraduate Degree,,,,,,,,,,,"Target groups include orphans, students whose parent(s) died due to COVID-19, and specified wards of armed forces/central paramilitary personnel martyred in action; current documentary definitions apply.",Scholarship,Scholarship support for eligible AICTE technical students in notified Swanath beneficiary groups.,,Online through National Scholarship Portal.,https://scholarships.gov.in/,"Degree/diploma Swanath variants are listed on NSP for 2026-27. Eligibility categories are stable, but detailed current benefit/ranking rules should be rechecked."
PM-USP Special Scholarship Scheme for Jammu & Kashmir and Ladakh,CENTRAL,Jammu and Kashmir|Ladakh,"Department of Higher Education, Ministry of Education / AICTE",Students,Scholarship enabling eligible J&K/Ladakh students to pursue higher education outside the UTs through the scheme's counselling process.,VERIFIED,https://www.education.gov.in/sites/upload_files/mhrd/files/upload_document/PM-USP-Guidelines.pdf,,2026-09-19,,,ANY,FAMILY_ANNUAL,,800000,Jammu and Kashmir|Ladakh,true,,,,,true,Undergraduate|Eligible lateral-entry engineering,,,,,,,,,,,"Must pass 10+2 from JKBOSE/CBSE-affiliated school located in J&K/Ladakh, or eligible 10+3 diploma for lateral engineering; admission must follow scheme process.",Scholarship,Academic fee and maintenance allowance for eligible students admitted under scheme rules.,Varies by course/category,Online registration/counselling through AICTE/PM-USP process; renewal also appears on NSP.,https://scholarships.gov.in/,2025-26 official guidelines/FAQ plus 2026-27 NSP renewal listing support current activity.
Pre-Matric Scholarship for Students with Disabilities,CENTRAL,All India,Department of Empowerment of Persons with Disabilities,Disability,Scholarship for Indian students with benchmark disabilities studying in Classes IX-X.,VERIFIED,https://depwd.gov.in/en/scholership-schemes-pre-matric/,,2026-09-19,,,ANY,FAMILY_ANNUAL,,250000,,,,,,,true,Class IX|Class X,,,true,40,,,,,,"Maximum two children with disabilities from the same parents can receive the scholarship, subject to scheme exceptions/rules.",Indian national; valid UDID and Aadhaar; cannot simultaneously receive another scholarship/stipend for the same purpose.,Scholarship,"Monthly scholarship plus book grant and disability allowance, with hosteller/day-scholar rates.","Hosteller ₹800/month or day scholar ₹500/month for 12 months; book grant ₹1,000/year; disability allowance ₹2,000–₹4,000/year",Online through National Scholarship Portal.,https://scholarships.gov.in/,Current DEPwD easy-read scheme page retrieved in September 2026.
Post-Matric Scholarship for Students with Disabilities,CENTRAL,All India,Department of Empowerment of Persons with Disabilities,Disability,Post-matric scholarship for students with benchmark disabilities from Class XI through postgraduate and eligible diploma/degree study.,VERIFIED,https://depwd.gov.in/en/scholarship-post-matric/,,2026-09-19,,,ANY,FAMILY_ANNUAL,,250000,,,,,,,true,Class XI|Class XII|Diploma|Undergraduate|Postgraduate,,,true,40,,,,,,"Maximum two children with disabilities from the same parents can receive it, subject to scheme rules.",Indian national with UDID/Aadhaar; cannot receive another post-matric scholarship/stipend for the same purpose.,Scholarship,"Fee reimbursement/allowances plus maintenance, books and disability support subject to ceilings.","Hosteller ₹1,200/month or day scholar ₹650/month for 12 months; books ₹1,500/year; disability allowance ₹2,000–₹4,000/year; fee ceilings apply",Online through National Scholarship Portal.,https://scholarships.gov.in/,Current DEPwD scheme page retrieved in September 2026.
Top Class Education Scholarship for Students with Benchmark Disabilities,CENTRAL,All India,Department of Empowerment of Persons with Disabilities,Disability,Scholarship for graduate/postgraduate/diploma study in notified top-class institutions for students with benchmark disabilities.,VERIFIED,https://depwd.gov.in/en/scholarship-top-class-fellowship/,,2026-09-19,,,ANY,FAMILY_ANNUAL,,800000,,,,,,,true,Diploma|Undergraduate|Postgraduate,,,true,40,,,,,,,"Must study in a notified institution, hold UDID and Aadhaar, and not receive another scholarship/stipend for the same purpose.",Scholarship,"Tuition/fee support, maintenance, books, computer and assistive-device assistance subject to ceilings.","Tuition/admission fee up to ₹1.90 lakh/year; hosteller ₹3,000/month or day scholar ₹1,500/month; books ₹5,000/year; computer up to ₹45,000; aids up to ₹30,000",Online through National Scholarship Portal.,https://scholarships.gov.in/,Current DEPwD page retrieved in September 2026.
"PM-YASASVI Top Class School Education for OBC, EBC and DNT Students",CENTRAL,All India,Department of Social Justice & Empowerment,OBC/EBC/DNT Welfare,Merit-based funding for OBC/EBC/DNT students studying in identified top-class schools from Classes IX-XII.,VERIFIED,https://socialjustice.gov.in/schemes/101,,2026-09-19,,,ANY,FAMILY_ANNUAL,,250000,,,,OBC|EBC|DNT,,,true,Class IX|Class X|Class XI|Class XII,,,,,,,,,,,Student must be studying in an identified Top Class School; selection is merit/slot based. At least a prescribed share of scholarships is reserved for girls.,Scholarship,"School education support in identified top-class schools, allocated through State-wise merit/slot rules.",Varies by class/school costs under current guidelines,Online through National Scholarship Portal when the scheme window is open.,https://scholarships.gov.in/,Umbrella PM-YASASVI page current June 2026; scheme listed in 2026-27 scholarship cycle.
"PM-YASASVI Top Class College Education for OBC, EBC and DNT Students",CENTRAL,All India,Department of Social Justice & Empowerment,OBC/EBC/DNT Welfare,Financial support for OBC/EBC/DNT students in notified top-class higher-education institutions.,VERIFIED,https://socialjustice.gov.in/schemes/101,,2026-09-19,,,ANY,FAMILY_ANNUAL,,250000,,,,OBC|EBC|DNT,,,true,Undergraduate|Postgraduate|Professional,,,,,,,,,,,Admission in an institution/course covered by the current notified Top Class College list; selection subject to allocated slots and scheme rules.,Scholarship,"Tuition/non-refundable charges and other admissible support in notified institutions, subject to scheme ceilings.",Varies by institution/course and current guidelines,Online through National Scholarship Portal.,https://scholarships.gov.in/,Department published implementation/slot material for 2025-26 and NSP lists the scheme in the 2026-27 cycle.
Post-Matric Scholarship for Scheduled Caste Students,CENTRAL,All India,Department of Social Justice & Empowerment,SC Welfare,Post-matric financial assistance for eligible Scheduled Caste students pursuing recognized study after matriculation.,VERIFIED,https://www.socialjustice.gov.in/writereaddata/UploadFile/PMS_for_SCs_Scheme_Guidelines.pdf,,2026-09-19,,,ANY,FAMILY_ANNUAL,,250000,,true,,SC,,,true,Post-Matric|Diploma|Undergraduate|Postgraduate|Professional,,,,,,,,,,,Indian national belonging to SC of the applicant's domicile State/UT; must have passed matriculation/higher-secondary or a higher qualifying examination.,Scholarship,Compulsory fee reimbursement and academic/maintenance allowances as prescribed by course group and State implementation.,Varies by course group and State implementation,Apply through State/UT scholarship system and/or NSP as notified.,https://scholarships.gov.in/,Eligibility and ₹2.5 lakh family-income ceiling are from official central guidelines; application flow is State/UT implemented.
Central Sector Scholarship of Top Class Education for SC Students,CENTRAL,All India,Department of Social Justice & Empowerment,SC Welfare,Supports Scheduled Caste students pursuing study beyond Class XII in notified premier institutions.,VERIFIED,https://socialjustice.gov.in/schemes/27,,2026-09-19,,,ANY,,,,,,,SC,,,true,Undergraduate|Postgraduate|Professional,,,,,,,,,,,Must be an SC student admitted to an empanelled institution and satisfy the current 2026-27 income/selection rules.,Scholarship,"Financial support for education in empanelled institutions, including admissible tuition/living/books/computer support under current guidelines.",Varies by course/institution under 2026-27 guidelines,Online through National Scholarship Portal.,https://scholarships.gov.in/,Department published explicit scheme guidelines for 2026-27 in June 2026. Numeric income threshold intentionally left blank because it was not extracted from the current guideline text in this run.
National Overseas Scholarship for SC etc. Candidates,CENTRAL,All India,Department of Social Justice & Empowerment,SC Welfare,Overseas higher-education assistance for low-income meritorious candidates from specified disadvantaged categories.,VERIFIED,https://socialjustice.gov.in/schemes/28,,2026-09-19,,,ANY,,,,,,,SC|DNT|Nomadic/Semi-Nomadic Tribes,Landless Agricultural Labourer|Traditional Artisan,,true,Masters|PhD,,,,,,,,,,,"Category, academic, age/income, course/university and prior-qualification conditions apply under 2026-27 guidelines; 30% of awards are earmarked for female candidates.",Overseas Scholarship,"Tuition, maintenance and other admissible overseas-study costs through Indian Missions, subject to current scheme guidelines.",Varies by destination/course and admissible-cost rules,Online on the National Overseas Scholarship portal during the selection window.,https://nosmsje.gov.in/,Official page explicitly publishes 2026-27 guidelines and current online application route. Numeric income/age values left blank unless rechecked from the current PDF.
National Fellowship for Scheduled Caste Students (NFSC),CENTRAL,All India,Department of Social Justice & Empowerment,SC Welfare,Fellowship for Scheduled Caste students pursuing PhD/research in recognized institutions.,VERIFIED,https://socialjustice.gov.in/schemes/29,,2026-09-19,,,ANY,,,,,,,SC,,,true,PhD,,,,,,,,,,,SC candidate pursuing eligible PhD research; current scheme requires qualification through specified UGC/CSIR NET-JRF routes and other fellowship conditions.,Research Fellowship,JRF/SRF and admissible research support for selected SC scholars.,As per current UGC fellowship rates/guidelines,Selection under Ministry/UGC process after qualifying the prescribed NET-JRF route; follow current notification.,https://socialjustice.gov.in/schemes/29,Current NFSC guidelines are active through December 2026 on the official department site.
Pre-Matric Scholarship for ST Students (Classes IX-X),CENTRAL,All India,Ministry of Tribal Affairs,ST Welfare,Pre-matric scholarship support for Scheduled Tribe students in Classes IX-X.,VERIFIED,https://tribal.nic.in/ScholarshiP.aspx,,2026-09-19,,,ANY,,,,,,,ST,,,true,Class IX|Class X,,,,,,,,,,,"Must belong to Scheduled Tribe and satisfy the current family-income, school and non-duplication conditions.",Scholarship,Scholarship/allowance support implemented through States/UTs for eligible ST students.,Varies under current guideline/State implementation,Apply through State/UT scholarship portal and/or NSP as notified.,https://scholarships.gov.in/,Ministry sanction orders show 2025-26 implementation including releases in 2026. Income ceiling intentionally left blank because it was not freshly extracted from current guidelines.
Post-Matric Scholarship for ST Students,CENTRAL,All India,Ministry of Tribal Affairs,ST Welfare,Post-matric scholarship for Scheduled Tribe students pursuing recognized studies after Class X.,VERIFIED,https://tribal.nic.in/ScholarshiP.aspx,,2026-09-19,,,ANY,,,,,,,ST,,,true,Post-Matric|Diploma|Undergraduate|Postgraduate|Professional,,,,,,,,,,,"ST status, family-income ceiling and recognized post-matric course/institution conditions apply.",Scholarship,Maintenance allowance and admissible compulsory fees under the centrally supported State/UT implementation.,Varies by course group and current guidelines,Apply through State/UT scholarship portal and/or NSP as notified.,https://scholarships.gov.in/,Ministry of Tribal Affairs continues to list the scheme. Numeric threshold left blank pending current guideline extraction.
National Fellowship and Scholarship for Higher Education of ST Students,CENTRAL,All India,Ministry of Tribal Affairs,ST Welfare,Central support for higher education of Scheduled Tribe students through scholarship and fellowship components.,VERIFIED,https://tribal.nic.in/ScholarshiP.aspx,,2026-09-19,,,ANY,,,,,,,ST,,,true,Undergraduate|Postgraduate|Professional|PhD,,,,,,,,,,,ST status plus notified institution/course or fellowship-selection conditions; income criteria apply to scholarship components as specified.,Scholarship / Fellowship,Top-class higher-education scholarship and research fellowship support under component-specific rules.,Varies by component/course,Scholarship component via NSP; fellowship component through the Ministry's designated fellowship portal/process.,https://scholarships.gov.in/,2026-27 Ministry sanction activity and 2026-27 NSP listing confirm current operation.
National Overseas Scholarship for ST Students,CENTRAL,All India,Ministry of Tribal Affairs,ST Welfare,Financial assistance for eligible Scheduled Tribe students pursuing specified higher studies abroad.,LIKELY_ACTIVE,https://tribal.nic.in/ScholarshiP.aspx,,2026-09-19,,,ANY,,,,,,,ST,,,true,Masters|PhD|Postdoctoral (as permitted by current guidelines),,,,,,,,,,,"ST status plus current age, income, academic, course/university and family-award conditions.",Overseas Scholarship,"Overseas tuition, maintenance and other admissible costs for selected ST candidates.",Varies by destination/course and current guidelines,Apply through the Ministry of Tribal Affairs overseas-scholarship process/portal when applications are invited.,https://overseas.tribal.gov.in/,Scheme remains listed by the Ministry; current-cycle numeric thresholds were not revalidated in this run.
Pradhan Mantri Matru Vandana Yojana (PMMVY),CENTRAL,All India,Ministry of Women & Child Development,Maternity,Maternity benefit scheme providing cash incentives to eligible pregnant and lactating women.,VERIFIED,https://www.spniwcd.wcd.gov.in/pradhan-mantri-matru-vandana-yojna/faqs,,2026-09-19,,,FEMALE,,,,,,,,,,,,,,,,,,,,,,"Pregnant/lactating woman must satisfy at least one notified vulnerability category, such as SC/ST, benchmark disability, BPL/NFSA/PM-JAY/e-Shram/PM-KISAN/MGNREGA-linked status, prescribed income criterion, frontline-worker category, or other notified condition.",Direct Benefit Transfer,"₹5,000 for first child in instalments; ₹6,000 for second child when the second child is a girl, subject to scheme conditions.","₹5,000 first child; ₹6,000 second child if girl",Apply through Anganwadi/health functionary or the PMMVY application system as implemented locally.,https://pmmvy.wcd.gov.in/,"Current official FAQ used. Because eligibility uses OR logic, alternative vulnerability conditions are kept in free text instead of being incorrectly treated as cumulative rules."
One Stop Centre (OSC) Scheme,CENTRAL,All India,Ministry of Women & Child Development,Women,"Integrated support for women affected by violence, including medical, legal, police facilitation, counselling and short-stay shelter.",VERIFIED,https://www.wcd.gov.in/offerings/one-stop-centre-scheme,,2026-09-19,,,FEMALE,,,,,,,,,,,,,,,,,,,,,,Woman affected by violence/abuse/trauma. Accompanying children may stay subject to centre rules; short-stay shelter limits apply.,Support Service,Free integrated crisis/support services through One Stop Centres.,Non-cash service,Approach/contact a One Stop Centre directly or through linked helplines/police/health services.,https://www.wcd.gov.in/offerings/one-stop-centre-scheme,Current WCD offering page used; no income threshold.
Palna - National Programme on Anganwadi-cum-Crèches,CENTRAL,All India,Ministry of Women & Child Development,Children,Day-care/crèche services for young children through Anganwadi-cum-Crèches and standalone crèches.,VERIFIED,https://www.spniwcd.wcd.gov.in/palna/faqs,,2026-09-19,0.5,6,ANY,,,,,,,,,,,,,,,,,,,,,"Available irrespective of whether the mother is employed, subject to local centre capacity and age rules.",Child generally 6 months to 6 years for crèche services; local operational hours/capacity rules apply.,Child Care Service,"Day care, nutrition/health support and early childhood care for eligible children.",Non-cash service,Enrol through the local Palna crèche/Anganwadi-cum-Crèche where available.,https://www.spniwcd.wcd.gov.in/palna/faqs,Official Palna FAQ states crèche services generally cover children from 6 months to 6 years and are available irrespective of the mother's work status.
