scheme_name,state_or_ut,field,operator,value,rule_confidence,notes
Sant Ravidas Shiksha Protsahan Yojana (UP BOCW),Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
Sant Ravidas Shiksha Protsahan Yojana (UP BOCW),Uttar Pradesh,student_status,boolean_equals,true,VERIFIED,
Kanya Vivah Sahayata Yojana (UP BOCW),Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
Kanya Vivah Sahayata Yojana (UP BOCW),Uttar Pradesh,age,>=,18,VERIFIED,
Kanya Vivah Sahayata Yojana (UP BOCW),Uttar Pradesh,gender,equals,FEMALE,VERIFIED,
Nirman Kamgar Gambhir Bimari Sahayata Yojana (UP BOCW),Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
"Nirman Kamgar Mrityu, Viklangta Sahayata Evam Akshamta Pension Yojana (UP BOCW)",Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
Antyeshti Sahayata Yojana (UP BOCW),Uttar Pradesh,state_or_ut,equals,Uttar Pradesh,VERIFIED,
Mukhyamantri Kanya Utthan Yojana,Bihar,state_or_ut,equals,Bihar,LIKELY_ACTIVE,
Mukhyamantri Kanya Utthan Yojana,Bihar,gender,equals,FEMALE,LIKELY_ACTIVE,
Mukhyamantri Balika Cycle Yojana,Bihar,state_or_ut,equals,Bihar,LIKELY_ACTIVE,
Mukhyamantri Balika Cycle Yojana,Bihar,gender,equals,FEMALE,LIKELY_ACTIVE,
Mukhyamantri Balika Cycle Yojana,Bihar,student_status,boolean_equals,true,LIKELY_ACTIVE,
Mukhyamantri Balak Cycle Yojana,Bihar,state_or_ut,equals,Bihar,LIKELY_ACTIVE,
Mukhyamantri Balak Cycle Yojana,Bihar,gender,equals,MALE,LIKELY_ACTIVE,
Mukhyamantri Balak Cycle Yojana,Bihar,student_status,boolean_equals,true,LIKELY_ACTIVE,
Mukhyamantri Poshak Yojana,Bihar,state_or_ut,equals,Bihar,VERIFIED,
Mukhyamantri Poshak Yojana,Bihar,student_status,boolean_equals,true,VERIFIED,
Bihar Student Credit Card Yojana,Bihar,state_or_ut,equals,Bihar,VERIFIED,
Bihar Student Credit Card Yojana,Bihar,student_status,boolean_equals,true,VERIFIED,
Mukhyamantri Nishchay Swayam Sahayata Bhatta Yojana,Bihar,state_or_ut,equals,Bihar,VERIFIED,
Mukhyamantri Nishchay Swayam Sahayata Bhatta Yojana,Bihar,age,>=,20,VERIFIED,
Mukhyamantri Nishchay Swayam Sahayata Bhatta Yojana,Bihar,age,<=,25,VERIFIED,
Kushal Yuva Program (KYP),Bihar,state_or_ut,equals,Bihar,VERIFIED,
Kushal Yuva Program (KYP),Bihar,age,>=,15,VERIFIED,
Kushal Yuva Program (KYP),Bihar,age,<=,25,VERIFIED,
Mukhyamantri Udyami Yojana,Bihar,state_or_ut,equals,Bihar,VERIFIED,
Bihar Laghu Udyami Yojana,Bihar,state_or_ut,equals,Bihar,VERIFIED,
Mukhyamantri Vridhjan Pension Yojana,Bihar,state_or_ut,equals,Bihar,VERIFIED,
Mukhyamantri Vridhjan Pension Yojana,Bihar,age,>=,60,VERIFIED,
Bihar Shatabdi Kushth Kalyan Yojana,Bihar,state_or_ut,equals,Bihar,NEEDS_REVIEW,
Mukhyamantri Divyangjan Sashaktikaran Chhatra Yojana 'Sambal',Bihar,state_or_ut,equals,Bihar,VERIFIED,
Mukhyamantri Divyangjan Sashaktikaran Chhatra Yojana 'Sambal',Bihar,disability_status,boolean_equals,true,VERIFIED,
Mukhyamantri Gramin Awas Yojana,Bihar,state_or_ut,equals,Bihar,VERIFIED,
Mukhyamantri Gramin Awas Yojana,Bihar,social_category,in,SC|ST|EBC (among defined beneficiary groups),VERIFIED,
Mukhyamantri Gramin Awas Yojana,Bihar,rural_urban,equals,RURAL,VERIFIED,
Mukhyamantri Chikitsa Sahayata Kosh,Bihar,state_or_ut,equals,Bihar,VERIFIED,
Mukhyamantri Pichhda Varg Medhavriti Yojana,Bihar,state_or_ut,equals,Bihar,VERIFIED,
Mukhyamantri Pichhda Varg Medhavriti Yojana,Bihar,annual_income,<=,300000,VERIFIED,income_type=FAMILY
Mukhyamantri Pichhda Varg Medhavriti Yojana,Bihar,social_category,equals,BC,VERIFIED,
Mukhyamantri Pichhda Varg Medhavriti Yojana,Bihar,student_status,boolean_equals,true,VERIFIED,
Mukhyamantri Atyant Pichhda Varg Medhavriti Yojana,Bihar,state_or_ut,equals,Bihar,VERIFIED,
Mukhyamantri Atyant Pichhda Varg Medhavriti Yojana,Bihar,social_category,equals,EBC,VERIFIED,
Mukhyamantri Atyant Pichhda Varg Medhavriti Yojana,Bihar,student_status,boolean_equals,true,VERIFIED,
Mukhyamantri Atyant Pichhda Varg Civil Seva Protsahan Yojana,Bihar,state_or_ut,equals,Bihar,VERIFIED,
Mukhyamantri Atyant Pichhda Varg Civil Seva Protsahan Yojana,Bihar,social_category,equals,EBC,VERIFIED,
Mukhyamantri Pichhda Varg Evam Atyant Pichhda Varg Chhatravas Anudan Yojana,Bihar,state_or_ut,equals,Bihar,VERIFIED,
Mukhyamantri Pichhda Varg Evam Atyant Pichhda Varg Chhatravas Anudan Yojana,Bihar,social_category,in,BC|EBC,VERIFIED,
Mukhyamantri Pichhda Varg Evam Atyant Pichhda Varg Chhatravas Anudan Yojana,Bihar,student_status,boolean_equals,true,VERIFIED,
Mukhyamantri Pichhda Varg Evam Atyant Pichhda Varg Kaushal Vikas Yojana,Bihar,state_or_ut,equals,Bihar,VERIFIED,
Mukhyamantri Pichhda Varg Evam Atyant Pichhda Varg Kaushal Vikas Yojana,Bihar,social_category,in,BC|EBC,VERIFIED,
Mukhyamantri Ladli Behna Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Ladli Behna Yojana,Madhya Pradesh,gender,equals,FEMALE,VERIFIED,
Mukhyamantri Ladli Laxmi Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Ladli Laxmi Yojana,Madhya Pradesh,gender,equals,FEMALE,VERIFIED,
Mukhyamantri Bal Ashirwad Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Kisan Kalyan Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Kisan Kalyan Yojana,Madhya Pradesh,farmer_status,boolean_equals,true,VERIFIED,
Mukhyamantri Seekho Kamao Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Seekho Kamao Yojana,Madhya Pradesh,age,>=,18,VERIFIED,
Mukhyamantri Seekho Kamao Yojana,Madhya Pradesh,age,<=,29,VERIFIED,
Mukhyamantri Udyam Kranti Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Medhavi Vidyarthi Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Medhavi Vidyarthi Yojana,Madhya Pradesh,student_status,boolean_equals,true,VERIFIED,
Gaon Ki Beti Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Gaon Ki Beti Yojana,Madhya Pradesh,gender,equals,FEMALE,VERIFIED,
Gaon Ki Beti Yojana,Madhya Pradesh,student_status,boolean_equals,true,VERIFIED,
Gaon Ki Beti Yojana,Madhya Pradesh,rural_urban,equals,RURAL,VERIFIED,
Pratibha Kiran Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Pratibha Kiran Yojana,Madhya Pradesh,gender,equals,FEMALE,VERIFIED,
Pratibha Kiran Yojana,Madhya Pradesh,student_status,boolean_equals,true,VERIFIED,
Pratibha Kiran Yojana,Madhya Pradesh,bpl_status,boolean_equals,true,VERIFIED,
Pratibha Kiran Yojana,Madhya Pradesh,rural_urban,equals,URBAN,VERIFIED,
Mukhyamantri Jan Kalyan (Sambal 2.0) Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Kanya Abhibhavak Pension Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Kanya Vivah Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Kanya Vivah Yojana,Madhya Pradesh,age,>=,18,VERIFIED,
Mukhyamantri Kanya Vivah Yojana,Madhya Pradesh,gender,equals,FEMALE,VERIFIED,
Mukhyamantri Kalyani Vivah Sahayata Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Kalyani Vivah Sahayata Yojana,Madhya Pradesh,gender,equals,FEMALE,VERIFIED,
Mukhyamantri Kalyani Vivah Sahayata Yojana,Madhya Pradesh,widow_status,boolean_equals,true,VERIFIED,
Nishaktjan Vivah Protsahan Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Nishaktjan Vivah Protsahan Yojana,Madhya Pradesh,age,>=,18,VERIFIED,
Nishaktjan Vivah Protsahan Yojana,Madhya Pradesh,disability_status,boolean_equals,true,VERIFIED,
Nishaktjan Vivah Protsahan Yojana,Madhya Pradesh,disability_percentage,>=,40,VERIFIED,
Mukhyamantri Nishakt Shiksha Protsahan Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Nishakt Shiksha Protsahan Yojana,Madhya Pradesh,student_status,boolean_equals,true,VERIFIED,
Mukhyamantri Nishakt Shiksha Protsahan Yojana,Madhya Pradesh,disability_status,boolean_equals,true,VERIFIED,
Mukhyamantri Awasiy Bhu-Adhikar Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Awasiy Bhu-Adhikar Yojana,Madhya Pradesh,rural_urban,equals,RURAL,VERIFIED,
Mukhyamantri Nagriya Bhu-Adhikar Yojana,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Mukhyamantri Nagriya Bhu-Adhikar Yojana,Madhya Pradesh,rural_urban,equals,URBAN,VERIFIED,
Domestic Violence Victim Assistance Scheme,Madhya Pradesh,state_or_ut,equals,Madhya Pradesh,VERIFIED,
Domestic Violence Victim Assistance Scheme,Madhya Pradesh,gender,equals,FEMALE,VERIFIED,
Palanhar Yojana,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Kanyadan Yojana,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Kanyadan Yojana,Rajasthan,age,>=,18,VERIFIED,
Mukhyamantri Kanyadan Yojana,Rajasthan,gender,equals,FEMALE,VERIFIED,
Mukhyamantri Kanyadan Yojana,Rajasthan,social_category,in,SC|ST|MINORITY|other eligible categories,VERIFIED,
Dr. Savita Ben Ambedkar Inter-Caste Marriage Scheme,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Anuprati Coaching Yojana,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Anuprati Coaching Yojana,Rajasthan,student_status,boolean_equals,true,VERIFIED,
Mukhyamantri Ekal Nari Samman Pension Yojana,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Ekal Nari Samman Pension Yojana,Rajasthan,age,>=,18,VERIFIED,
Mukhyamantri Ekal Nari Samman Pension Yojana,Rajasthan,gender,equals,FEMALE,VERIFIED,
Mukhyamantri Ekal Nari Samman Pension Yojana,Rajasthan,annual_income,<=,48000,VERIFIED,income_type=SELF+SPOUSE/FAMILY AS APPLICABLE
Mukhyamantri Vishesh Yogyajan Samman Pension Yojana,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Vishesh Yogyajan Samman Pension Yojana,Rajasthan,annual_income,<=,60000,VERIFIED,income_type=INDIVIDUAL/FAMILY
Mukhyamantri Vishesh Yogyajan Samman Pension Yojana,Rajasthan,disability_status,boolean_equals,true,VERIFIED,
Mukhyamantri Vishesh Yogyajan Samman Pension Yojana,Rajasthan,disability_percentage,>=,40,VERIFIED,
Mukhyamantri Vridhjan Samman Pension Yojana,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Vridhjan Samman Pension Yojana,Rajasthan,age,>=,55,VERIFIED,
Mukhyamantri Vridhjan Samman Pension Yojana,Rajasthan,annual_income,<=,48000,VERIFIED,income_type=SELF+SPOUSE
Mukhyamantri Self Employment Scheme for Specially Abled Persons,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Self Employment Scheme for Specially Abled Persons,Rajasthan,disability_status,boolean_equals,true,VERIFIED,
Astha Card Scheme,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Astha Card Scheme,Rajasthan,disability_status,boolean_equals,true,VERIFIED,
Devnarayan Girls Scooty and Incentive Scheme,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Devnarayan Girls Scooty and Incentive Scheme,Rajasthan,gender,equals,FEMALE,VERIFIED,
Devnarayan Girls Scooty and Incentive Scheme,Rajasthan,social_category,equals,NOTIFIED DEVNARAYAN BENEFICIARY COMMUNITIES,VERIFIED,
Devnarayan Girls Scooty and Incentive Scheme,Rajasthan,student_status,boolean_equals,true,VERIFIED,
Kali Bai Bheel Medhavi Chhatra Scooty Yojana,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Kali Bai Bheel Medhavi Chhatra Scooty Yojana,Rajasthan,gender,equals,FEMALE,VERIFIED,
Kali Bai Bheel Medhavi Chhatra Scooty Yojana,Rajasthan,student_status,boolean_equals,true,VERIFIED,
Mukhyamantri Uchcha Shiksha Scholarship Yojana,Rajasthan,state_or_ut,equals,Rajasthan,LIKELY_ACTIVE,
Mukhyamantri Uchcha Shiksha Scholarship Yojana,Rajasthan,student_status,boolean_equals,true,LIKELY_ACTIVE,
Ambedkar DBT Voucher Yojana,Rajasthan,state_or_ut,equals,Rajasthan,LIKELY_ACTIVE,
Ambedkar DBT Voucher Yojana,Rajasthan,student_status,boolean_equals,true,LIKELY_ACTIVE,
Mukhyamantri Nari Shakti Udyam Protsahan Yojana,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Nari Shakti Udyam Protsahan Yojana,Rajasthan,gender,equals,FEMALE,VERIFIED,
Mukhyamantri Krishak Sathi Sahayata Yojana,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Krishak Sathi Sahayata Yojana,Rajasthan,farmer_status,boolean_equals,true,VERIFIED,
Mukhyamantri Beej Swavlamban Yojana,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Beej Swavlamban Yojana,Rajasthan,farmer_status,boolean_equals,true,VERIFIED,
Incentive to Girls Studying Agriculture,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Incentive to Girls Studying Agriculture,Rajasthan,gender,equals,FEMALE,VERIFIED,
Incentive to Girls Studying Agriculture,Rajasthan,student_status,boolean_equals,true,VERIFIED,
Mahatma Jyotiba Phule Mandi Shramik Kalyan Yojana,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Camel Conservation Scheme,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Ayushman Durghatna Bima Yojana,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Laghu Seemant Vriddh Krishak Samman Pension Yojana,Rajasthan,state_or_ut,equals,Rajasthan,VERIFIED,
Mukhyamantri Laghu Seemant Vriddh Krishak Samman Pension Yojana,Rajasthan,farmer_status,boolean_equals,true,VERIFIED,
Distance Education Scheme for Girls,Rajasthan,state_or_ut,equals,Rajasthan,LIKELY_ACTIVE,
Distance Education Scheme for Girls,Rajasthan,gender,equals,FEMALE,LIKELY_ACTIVE,
Distance Education Scheme for Girls,Rajasthan,student_status,boolean_equals,true,LIKELY_ACTIVE,
Mukhyamantri Majhi Ladki Bahin Yojana,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Mukhyamantri Majhi Ladki Bahin Yojana,Maharashtra,age,>=,21,VERIFIED,
Mukhyamantri Majhi Ladki Bahin Yojana,Maharashtra,age,<=,65,VERIFIED,
Mukhyamantri Majhi Ladki Bahin Yojana,Maharashtra,gender,equals,FEMALE,VERIFIED,
Lek Ladki Yojana,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Lek Ladki Yojana,Maharashtra,gender,equals,FEMALE,VERIFIED,
Lek Ladki Yojana,Maharashtra,annual_income,<=,100000,VERIFIED,income_type=FAMILY_ANNUAL
Mukhyamantri Yuva Karya Prashikshan Yojana,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Mukhyamantri Teerth Darshan Yojana,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Mukhyamantri Vayoshree Yojana,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Mukhyamantri Vayoshree Yojana,Maharashtra,age,>=,65,VERIFIED,
Mukhyamantri Baliraja Vij Savalat Yojana,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Mukhyamantri Baliraja Vij Savalat Yojana,Maharashtra,farmer_status,boolean_equals,true,VERIFIED,
Mukhyamantri Annapurna Yojana,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Shiv Bhojan Yojana,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
APL Farmer Direct Benefit Scheme,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
APL Farmer Direct Benefit Scheme,Maharashtra,farmer_status,boolean_equals,true,VERIFIED,
Namo Shetkari Mahasanman Nidhi Yojana,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Namo Shetkari Mahasanman Nidhi Yojana,Maharashtra,farmer_status,boolean_equals,true,VERIFIED,
Birsa Munda Krishi Kranti Yojana,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Birsa Munda Krishi Kranti Yojana,Maharashtra,social_category,equals,ST,VERIFIED,
Birsa Munda Krishi Kranti Yojana,Maharashtra,farmer_status,boolean_equals,true,VERIFIED,
Dr. Babasaheb Ambedkar Krushi Swavalamban Yojana,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Dr. Babasaheb Ambedkar Krushi Swavalamban Yojana,Maharashtra,social_category,equals,SC,VERIFIED,
Dr. Babasaheb Ambedkar Krushi Swavalamban Yojana,Maharashtra,farmer_status,boolean_equals,true,VERIFIED,
Bhausaheb Fundkar Phalbaag Lagvad Yojana,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Bhausaheb Fundkar Phalbaag Lagvad Yojana,Maharashtra,farmer_status,boolean_equals,true,VERIFIED,
State Agriculture Mechanization Scheme,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
State Agriculture Mechanization Scheme,Maharashtra,farmer_status,boolean_equals,true,VERIFIED,
Chief Minister Sustainable Agriculture Irrigation Scheme,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Chief Minister Sustainable Agriculture Irrigation Scheme,Maharashtra,farmer_status,boolean_equals,true,VERIFIED,
Khauti Anudan Yojana,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Khauti Anudan Yojana,Maharashtra,social_category,equals,ST,VERIFIED,
Maharashtra Apprenticeship Promotion Scheme,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna (EBC),Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna (EBC),Maharashtra,student_status,boolean_equals,true,VERIFIED,
Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna,Maharashtra,student_status,boolean_equals,true,VERIFIED,
State Minority Scholarship Part II,Maharashtra,state_or_ut,equals,Maharashtra,VERIFIED,
State Minority Scholarship Part II,Maharashtra,student_status,boolean_equals,true,VERIFIED,
State Minority Scholarship Part II,Maharashtra,minority_status,boolean_equals,true,VERIFIED,
Vahli Dikri Yojana,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Vahli Dikri Yojana,Gujarat,gender,equals,FEMALE,VERIFIED,
Ganga Swarupa Financial Aid Scheme,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Ganga Swarupa Financial Aid Scheme,Gujarat,gender,equals,FEMALE,VERIFIED,
Ganga Swarupa Financial Aid Scheme,Gujarat,widow_status,boolean_equals,true,VERIFIED,
Ganga Swarupa Punah Lagna Arthik Sahay Scheme,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Ganga Swarupa Punah Lagna Arthik Sahay Scheme,Gujarat,gender,equals,FEMALE,VERIFIED,
Ganga Swarupa Punah Lagna Arthik Sahay Scheme,Gujarat,widow_status,boolean_equals,true,VERIFIED,
Mukhyamantri Matrushakti Yojana,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Mukhyamantri Matrushakti Yojana,Gujarat,gender,equals,FEMALE,VERIFIED,
Poshan Sudha,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
PURNA Scheme,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
PURNA Scheme,Gujarat,gender,equals,FEMALE,VERIFIED,
Doodh Sanjivani Scheme,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Mahila Swavlamban Scheme,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Mahila Swavlamban Scheme,Gujarat,gender,equals,FEMALE,VERIFIED,
Manav Garima Yojana,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Kunvarbai Nu Mameru Scheme,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Kunvarbai Nu Mameru Scheme,Gujarat,gender,equals,FEMALE,VERIFIED,
Mai Ramabai Ambedkar Sat Fera Samuh Lagna Yojana,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Sarasvati Sadhana Yojana (Free Cycle to SC Girls),Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Sarasvati Sadhana Yojana (Free Cycle to SC Girls),Gujarat,gender,equals,FEMALE,VERIFIED,
Sarasvati Sadhana Yojana (Free Cycle to SC Girls),Gujarat,social_category,equals,SC,VERIFIED,
Sarasvati Sadhana Yojana (Free Cycle to SC Girls),Gujarat,student_status,boolean_equals,true,VERIFIED,
State Post-SSC Scholarship to SC Girls,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
State Post-SSC Scholarship to SC Girls,Gujarat,gender,equals,FEMALE,VERIFIED,
State Post-SSC Scholarship to SC Girls,Gujarat,social_category,equals,SC,VERIFIED,
State Post-SSC Scholarship to SC Girls,Gujarat,student_status,boolean_equals,true,VERIFIED,
Divyang Free ST Bus Travel Scheme,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Divyang Free ST Bus Travel Scheme,Gujarat,disability_status,boolean_equals,true,VERIFIED,
Divyang Sadhan Sahay Yojana,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Divyang Sadhan Sahay Yojana,Gujarat,disability_status,boolean_equals,true,VERIFIED,
Sant Surdas Yojana,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Sant Surdas Yojana,Gujarat,disability_status,boolean_equals,true,VERIFIED,
Divyang Lagna Sahay Yojana,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Divyang Lagna Sahay Yojana,Gujarat,disability_status,boolean_equals,true,VERIFIED,
Niradhar Vrudh State Financial Assistance Scheme,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Smart & Precision Farming Assistance Scheme,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Smart & Precision Farming Assistance Scheme,Gujarat,farmer_status,boolean_equals,true,VERIFIED,
